,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
84,TfIdf-max_features,SVM,70,-1,0.375,balanced,balanced,0.3431804046884801,0.375,0.3153423022537285
85,TfIdf-max_features,RF,70,-1,0.398125,balanced,balanced,0.40788245603200357,0.398125,0.39241932626015485
86,TfIdf-max_features,NB,70,-1,0.37125,balanced,balanced,0.32573253059113355,0.37125,0.3302546932355074
87,TfIdf-max_features,SVM,75,-1,0.368125,balanced,balanced,0.42537841499609313,0.368125,0.3251825122590383
88,TfIdf-max_features,RF,75,-1,0.40625,balanced,balanced,0.4155479411654761,0.40625,0.4009872655743033
89,TfIdf-max_features,NB,75,-1,0.36875,balanced,balanced,0.3212219658748447,0.36875,0.3267181816181446
90,TfIdf-max_features,SVM,80,-1,0.30375,balanced,balanced,0.4434854983964651,0.30375,0.26932015799409337
91,TfIdf-max_features,RF,80,-1,0.38625,balanced,balanced,0.3932790799525388,0.38625,0.37981611752624667
92,TfIdf-max_features,NB,80,-1,0.38375,balanced,balanced,0.350747019654018,0.38375,0.3515668229539126
93,TfIdf-max_features,SVM,85,-1,0.3725,balanced,balanced,0.41904331179538395,0.3725,0.32492122334082707
94,TfIdf-max_features,RF,85,-1,0.39875,balanced,balanced,0.4106948013686037,0.39875,0.3927571954875301
95,TfIdf-max_features,NB,85,-1,0.380625,balanced,balanced,0.34770457829576523,0.380625,0.3472918065281806
96,TfIdf-max_features,SVM,90,-1,0.3625,balanced,balanced,0.38070769053972525,0.3625,0.3185041224455949
97,TfIdf-max_features,RF,90,-1,0.401875,balanced,balanced,0.4205845254308515,0.401875,0.3957678731963017
98,TfIdf-max_features,NB,90,-1,0.381875,balanced,balanced,0.35209143646680197,0.381875,0.34866063288508103
99,TfIdf-max_features,SVM,95,-1,0.361875,balanced,balanced,0.37099543195735935,0.361875,0.30442852804188264
100,TfIdf-max_features,RF,95,-1,0.410625,balanced,balanced,0.42111494699432656,0.410625,0.4031863505579658
101,TfIdf-max_features,NB,95,-1,0.3825,balanced,balanced,0.35273625410603443,0.3825,0.3487694326756564
